author,title,abstract,jel
"Alan V. Deardorff","Post-Doha Trade Policy Options for a Small Country","This paper uses a partial equilibrium model of two small countries, within a large worldeconomy, implementing reciprocal tariff cuts on each otherÕs exports in a regional tradeagreement (RTA) and compares the effects with unilateral most-favored-nation (MFN) tariffcuts. The reciprocal cuts are shown to be more likely beneficial to a country the larger is thepartner countryÕs trade. The welfare effects of a countryÕs own tariff cut on imports are alsocompared to the effects on its welfare of the partner-countryÕs tariff cut on its exports. If tarifflevels are low, the latter is seen to be larger than the former. Implications of the analysis are that,if multilateral trade liberalization is unlikely, then small countries should seek to form RTAswith countries larger than themselves. In addition, to assure that they have something to offer insuch arrangements, they should not go too far in unilaterally reducing their MFN tariffs.",F
"Alan V. Deardorff","What Do We (and Others) Mean by The Terms of Trade?","I explore how the concept of Òthe terms of tradeÓ has been used since it was coined by Marshall.  Early writers (Taussig, Viner, Dorrance) constructed variations on the relative price of traded goods that Marshall was concerned with, but most of these variations have been left behind in modern uses of the term, which today almost always refer to a relative price of exports and imports.  However, when authors have wanted to identify the terms of trade with a particular country and to represent it either symbolically in an economic model or empirically, they have had to choose between defining the terms of trade as the relative price of exports or the relative price of imports.  The first to do this was Taussig, who chose the second option, but he was followed by Viner who chose the first, and was followed in this choice by almost all writers for the next several decades.  Then, around 1980, TaussigÕs choice came back into fashion among scholars of international finance.  I document this contrast in definitions between international trade and international finance, then add slightly to VinerÕs argument for preferring that the terms of trade of a country be defined as the relative price of its exports.",F
"Alan V. Deardorff|Saul H. Hymans|Robert M Stern|Chong Xiang","Forecasting U.S. Trade in Services","This paper provides a set of forecasts of United States international trade in services, both at the aggregate level and for four subcategories. These sectors are: travel, which is mostly tourist expenditures; passenger fares, which is mostly passenger air transportation; transportation, other than passenger transportation; and other private services, including education, financial services, insurance, telecommunications, and business, professional and technical services. A forecasting model is constructed and estimated, based on conventional economic forces of supply and demand, dependent on cost variables and income variables as well as relative prices. For forecasting purposes, these variables are taken from the Michigan Quarterly Econometric Model of the U.S. Economy, a macroeconomic forecasting model with forecasts provided regularly by the University of Michigan Research Seminar in Quantitative Economics.",F
"Alan V. Deardorff","Economic Effects of 'Leveling the Playing Field' in International Trade","This paper uses simple economic theory to examine the effects of various policies that are intended to level the playing field in international trade. That is, when foreign producers are given advantages over domestic producers by government subsidies or other interventions that lower their costs, domestic firms may argue that their own governments should either provide comparable assistance or should protect them from competing with the foreign firms on grounds of fairness. Economic analysis easily shows that granting these requests is usually harmful for the domestic economy as a whole, but that may not prevent such policies from being implemented. Therefore this paper examines what the further effects of such policies may be. The main conclusion that emerges is that policies to level the playing field most often overcompensate those who request them, making them better off than if the playing field had not be tilted against them in the first place.",F
"Pravin Krishna|Andrei A. Levchenko","Comparative Advantage, Complexity, and Volatility","Less developed countries tend to experience higher output volatility, a fact that is in",F
"Alecia Waite Cassidy|Edward Tower|Xiaolu Wang","Manufacturing Fetishism: The Neo-Mercantilist Preoccupation with Protecting Manufacturing","Two common views are that a country cannot develop without a strong manufacturing base and",F
"Dukgeun Ahn|Jieun Lee","Countervailing Duty against China:  Opening a Pandoraâs Box in the WTO System?","In this paper, we trace the jurisprudential history of the applicability of US countervailing duty (CVD)law to non-market economies (NMEs). We describe how, since the United States reversed its longstanding policy of not imposing CVDs on NMEs, concurrent application of antidumping (AD) andcountervailing duties has become the country's major trade remedy action against China. Although theWTO panel rejected China's claim of WTO-inconsistency regarding the current US practices, the USCourt of International Trade firmly ruled that the Department of Commerce's double counting of AD andCVD against China violates domestic regulation. Finally, the WTO Appellate Body ruled that this'double remedy' violates the rule to levy CVDs 'in the appropriate amounts' under Article 19.3 of theSCM Agreement. We will argue that, although the Appellate Body's ruling is praiseworthy in preventingan illogical practice, its legal reasoning may give rise to some doubts and controversy when thenegotiating history of Article 19 is examined. We will also analyze key features of current double remedypractices in the United States and Canada.",F
"Alan V. Deardorff","Trade Implications of the Trans-Pacific Partnership for ASEAN and Other Asian Countries","The Trans-Pacific Partnership (TPP) aspires to become a state-of-the-art trade agreement linking 12 countries on both sides of the Pacific. In addition to establishing a Free Trade Agreement (FTA) among these countries, negotiators are pursuing a long list of other issues, both trade-related and non-trade related. This paper examines the likely effects of the TPP on trade alone, taking into account the fact that all of the potential members of the TPP are already participants in other FTAs. Using information from the World Trade Organization on the existence of these FTAs, plus data on the identities of countriesÕ major trading partners for both exports and imports, I discuss the likely effects on a list of countries in terms of trade creation, trade diversion, and the reversal of trade diversion that has already occurred due to existing FTAs. The list of countries includes all of the members of the TPP as well as of ASEAN. In addition it includes ten additional Asian economies that are not part of either.",F
"Alan V. Deardorff|Jee-Hyeong Park","A Story of Trade-Induced Industrialization","We offer a simple variant of the standard Heckscher-Ohlin Model thatexplains how a developing country, by opening to trade with a large capital-abundanteconomy, can be induced to shift resources into more capital-intensiveproduction than what it was producing in autarky. As a result it experiences arise in its return to capital and, if capital is internationally mobile, both anincrease in its capital stock and an increase in trade. These results arise in amodel in which both a traditional and a modern sector can produce final goodsthat are perfect substitutes. The modern sector uses intermediate inputs thatdiffer in their relative capital intensities, while being both more capital intensivethan the traditional sector. The results of this model accord well with theexperience of the Asian Tiger economies during the early decades of theirexport-oriented industrialization.",F
"Lincoln, William F.|McCallum, Andrew H.","Entry Costs and Increasing Trade","Using confidential microdata from the US Census, we find that the fraction of manufacturing plants that export rose from 21% in 1987 to 39% in 2006. It has been suggested that similar trends in other countries may have been caused by declining costs of entering foreign markets. Our study tests this hypothesis for the first time. Both reduced form and structural estimation approaches find little evidence that the entry costs declined significantly in the US over this period. We instead argue that changes in other factors that determine export status are sufficient to explain these trends.",F
"Drusilla K. Brown|Robert M. Stern","International Trade, Labour and the WTO: Table of Contents and Introduction","This collection provides the reader access to the economics literature analyzing the accommodation of labor interests within the WTO.  We first develop an understanding of the interaction between global goods, capital and labor markets and the national government institutions that regulate their function.  In selecting papers for this volume, we have attempted to identify the most important contributions to the debate.  Additional related readings are also discussed and listed in the bibliography.",F
"Steve Machin|Shqiponja Telhaj|Joan Wilson","The mobility of English school children","In this paper, we examine links between pupil mobility and pupil and school characteristics at all levels of compulsory schooling in England. We derive measures of mobility from two academic years of the Pupil Level Annual School Census (PLASC) data, a unique national administrative pupil-level longitudinal data source. Our findings suggest that mobile pupils are more socially disadvantaged than non-mobile pupils and are significantly less likely to have a good prior education record. Moreover, we find that pupils are less likely to move if the school they attend has good average performance levels. Finally, when children move school, they are more likely to end up in a school with better Key Stage performance than the one they left, but this improvement is significantly more marked for children from better-off backgrounds.",I
